127.0.0.1 - - [18/Jun/2018:21:34:08 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:41 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/datatables.min.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:41 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:41 -0300] "GET /AreaAdministrativa/assets/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:42 -0300] "GET /AreaAdministrativa/assets/global/scripts/datatable.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:42 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/datatables.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:42 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:42 -0300] "GET /AreaAdministrativa/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:42 -0300] "GET /AreaAdministrativa/assets/pages/scripts/table-datatables-buttons.min.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:44 -0300] "GET /AreaAdministrativa/assets/global/scripts/datatable.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:44 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/datatables.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:45 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:45 -0300] "GET /AreaAdministrativa/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:45 -0300] "GET /AreaAdministrativa/assets/pages/scripts/table-datatables-buttons.min.js HTTP/1.1" 404 1093
